"id","SDS011ID","LAT","LON"
0,6561,50.89,4.7214
1,8745,50.8732,4.6982
2,8765,50.8821,4.719
3,8769,50.869,4.6961
4,8773,50.8724,4.7167
5,8777,50.8727,4.7118
6,8781,50.8839,4.7205
7,8783,50.8841,4.7204
8,8785,50.9279,4.7056
9,8787,50.881,4.7224
10,8789,50.8917,4.7253
11,8791,50.8891,4.7445
12,8795,50.8646,4.7407
13,8797,50.8983,4.734
14,8799,50.8914,4.6965
15,8801,50.8878,4.7232
16,8803,50.8908,4.726
17,8805,50.8885,4.6923
18,8809,50.8955,4.7024
19,8811,50.8825,4.7304
20,8813,50.873,4.7112
21,8819,50.8758,4.7367
22,8821,50.8825,4.6855
23,8823,50.9044,4.6942
24,8825,50.8728,4.7149
25,8827,50.855,4.696
26,8829,50.8922,4.696
27,8831,50.756,4.4713
28,8833,50.8895,4.7306
29,8835,50.8923,4.7305
30,8837,50.8806,4.6978
31,8839,50.8617,4.7134
32,8841,50.9009,4.6957
33,8845,50.8876,4.7501
34,8849,50.8607,4.6985
35,8853,50.858,4.693
36,8857,50.9039,4.6959
37,8859,50.9477,4.8329
38,8950,50.8894,4.7231
39,8993,50.8861,4.6979
40,9555,50.8831,4.7238
41,9563,50.8693,4.7019
42,9567,50.8616,4.7115
43,9569,50.8948,4.7019
44,9571,50.8816,4.7353
45,9577,50.8577,4.6984
46,9579,50.8677,4.7318
47,9585,50.8756,4.7145
48,9587,50.8896,4.7267
49,9591,50.8791,4.6918
50,9593,50.8719,4.7131
51,9597,50.8903,4.7234
52,9605,50.8751,4.6893
53,9609,50.8706,4.698
54,9611,50.8758,4.721
55,9613,50.8697,4.7071
56,9619,50.886,4.6839
57,9621,50.9062,4.7002
58,9623,50.882,4.7174
59,9625,50.9247,4.6971
60,9629,50.8834,4.6989
61,9633,50.8695,4.7242
62,9635,50.8894,4.7311
63,9637,50.8668,4.7105
64,9643,50.8994,4.7193
65,9753,50.9087,4.6622
66,9801,50.901,4.6726
67,9812,50.8765,4.7386
68,9825,50.8763,4.6908
69,10045,50.8775,4.741
70,10741,50.8754,4.6853
71,11529,50.8859,4.6934
72,12030,50.8718,4.7148
73,12183,50.864,4.6333
74,12505,50.8642,4.6799
75,12554,50.8677,4.7002
76,12855,50.8676,4.7227
77,13526,50.8821,4.719
78,13528,50.8821,4.719
79,13649,50.9186,4.6873
80,15986,50.8706,4.6052
81,16358,50.8723,4.7308
82,16551,50.8568,4.6856
83,16809,50.8727,4.7315
84,19832,50.8507,4.5982
85,21569,50.8785,4.6853
86,22953,50.8843,4.7103
87,24241,50.8923,4.6923
88,24719,50.8562,4.6857
89,26686,50.9003,4.6477
90,30627,50.8894,4.7231
